Quantity;latitude;Longitude;Date
23223;-63.05;-58.793333;09/05/2021
12110;-63.513333;-59.486389;11/05/2018
3947;-63.952778;-60.96;02/03/2018
24010;-63.071667;-59.093333;25/05/2018
8345;-62.556667;-61.073333;08/05/2012
35521;-62.863333;-57.366667;27/04/2019
18860;-63.515;-61.655;11/07/2019
22450;-63.566667;-60.6;10/05/2014
9201;-63.015;-57.821667;01/05/2020
22180;-63.19;-59.19;10/04/2013
23353;-63.101667;-59.27;22/06/2022
21824.8;-63.1;-58.816667;04/05/2013
11527;-63.92;-60.438333;12/05/2021
13997;-63.436111;-59.158333;09/06/2018
27114;-62.993333;-59.521667;20/04/2019
12115;-63.2;-58.783333;16/05/2014
19895;-62.93;-57.903333;03/05/2020
7456;-61.633333;-61.633333;31/01/2014
15278;-61.533333;-61.566667;30/01/2014
16834;-63.291667;-59.266667;10/04/2013
17332;-63.656667;-60.963333;25/06/2022
21146.6;-63.75;-60.05;14/05/2013
30396;-62.986667;-59.552778;16/06/2019
1953;-63.091667;-59.228333;17/12/2011
32968;-62.921667;-59.241667;18/04/2019
19949;-63.286667;-60.881667;11/07/2019
24511;-63.35;-60.65;24/04/2014
27114;-63.021667;-58.291667;17/05/2020
18977;-62.55;-62.533333;15/02/2014
12348;-63.116667;-58.85;02/06/2013
41207;-63.231667;-59.206667;30/05/2022
24997;-63.715;-59.756667;16/03/2021
18338;-61.633333;-57.83;24/01/2013
11426;-61.506667;-58.35;17/01/2013
19546;-61.694722;-58.583333;13/01/2013
31986;-63.915;-60.553333;08/04/2021
42633;-63.08;-58.638333;12/06/2018
17292;-63.826667;-60.516667;16/04/2012
8700;-62.675;-61.596667;03/05/2012
38460;-62.591667;-69.869444;13/06/2019
6005;-63.666667;-61.23;11/06/2012
24780;-62.836111;-57.469444;26/04/2019
4683;-62.808333;-59.708333;02/06/2012
11277;-61.475;-58.04;03/01/2021
16340;-63.046667;-58.015;16/03/2020
7913;-61.55;-61.6;11/01/2014
26577;-63.616667;-60.885;19/05/2022
12116;-63.866667;-60.45;25/03/2014
17500;-61.583333;-58.421667;15/01/2013
10443;-61.59;-58.306667;28/01/2013
9930;-61.819722;-58.826389;08/01/2013
16306;-63.87;-60.45;19/04/2021
37176;-63.905;-60.398333;13/04/2021
9503;-63.494722;-59.296667;09/05/2018
16630;-63.266667;-59.119444;16/05/2018
26633;-61.13;-56.161389;31/12/2018
3467;-62.04;-60.14;08/01/2012
